order_id,product_id,quantity,selling_price,discount_pct,seller_id
1,118,2,3513.98,20,12
2,123,1,3560.86,30,27
2,54,3,33958.12,25,17
3,72,1,530.98,40,28
4,26,3,28646.78,5,33
4,127,3,5474.02,10,40
5,179,1,6352.19,15,12
5,144,2,3247.87,40,15
6,20,2,33728.4,15,50
6,89,2,4758.38,25,28
7,147,2,9919.04,5,17
7,43,2,38776.86,15,23
8,97,1,1619.11,25,49
9,72,2,631.68,25,45
10,188,2,732.29,5,46
10,1,2,27571.34,40,39
11,161,2,17446.12,15,21
11,45,2,13568.75,10,6
12,200,3,1284.2,40,38
12,9,1,41492.08,5,38
13,173,1,9390.15,40,28
13,166,2,21760.38,15,41
14,117,3,4562.32,10,33
15,14,3,18699.86,25,26
15,193,3,587.72,15,29
16,66,2,22065.03,20,27
16,194,2,1438.7,40,15
17,95,2,1610.45,5,43
18,133,3,18148.89,5,48
18,39,2,55894.42,10,29
19,3,3,13693.83,5,50
20,167,2,17226.48,10,36
20,94,2,4631.53,5,27
21,181,2,1589.46,20,16
22,55,2,37088.13,20,2
23,6,2,31870.84,5,26
24,47,1,38833.5,40,48
25,148,2,3428.16,25,42
25,5,3,30012.69,30,50
26,85,3,1058.13,30,14
26,154,2,19249.3,10,3
27,53,3,36504.95,30,20
27,132,3,4895.34,25,45
28,103,3,2259.84,40,2
28,164,1,16261.08,30,21
29,147,1,7607.31,30,9
29,117,2,4046.04,25,4
30,196,1,1048.5,20,45
30,175,2,2510.72,20,47
31,48,1,61953.46,10,4
32,122,3,3018.53,40,13
33,173,3,13814.18,20,37
34,144,2,3459.53,40,10
35,198,2,1422.73,30,15
36,137,2,17510.62,10,28
37,151,1,7074.28,30,19
37,179,3,5077.22,30,38
38,23,1,12007.35,15,44
39,29,2,38063.12,25,19
40,116,2,2728.59,5,2
40,158,3,18215.4,5,22
41,67,3,23696.45,15,39
41,60,3,50420.36,15,36
42,14,1,18614.72,30,45
43,120,3,1677.84,20,47
44,99,2,4600.79,15,41
45,174,2,13624.9,25,8
46,27,3,20931.5,40,25
47,168,1,3311.96,10,33
48,199,1,1207.52,25,3
48,40,3,34701.04,20,27
49,53,3,48152.73,5,2
50,117,2,4477.56,10,11
51,141,3,16062.0,15,12
51,77,2,1260.14,5,34
52,118,3,3314.36,25,10
53,145,3,12646.18,30,12
53,71,1,2992.38,5,6
54,152,1,9716.27,20,44
54,29,2,43093.13,10,11
55,143,3,14372.31,5,3
56,160,2,2390.78,40,8
57,108,3,1629.38,15,13
58,69,2,51436.87,20,14
58,162,1,14215.26,15,42
59,2,1,31516.09,30,6
59,76,3,4187.52,10,43
60,56,3,55181.71,5,27
60,40,2,41656.39,5,15
61,142,3,4934.54,40,18
62,64,2,11670.8,20,40
63,34,2,43686.44,15,49
64,196,2,1025.02,15,45
65,179,2,4060.43,40,49
66,180,2,10863.61,40,35
67,174,1,10884.6,40,2
67,180,3,16561.62,5,18
68,184,2,474.93,10,37
68,133,2,16172.57,20,24
69,39,1,52867.82,5,13
69,98,2,1188.58,25,26
70,73,1,3028.46,25,38
70,80,2,1865.39,40,37
71,35,1,32375.39,10,48
72,48,2,63579.35,10,11
72,3,2,11703.14,20,25
73,46,2,28946.19,25,13
73,154,1,15253.89,30,43
74,56,3,39178.85,40,21
75,143,2,13289.23,20,33
75,157,2,16436.59,20,12
76,78,1,3745.2,10,8
77,134,3,16781.98,5,17
78,52,3,35256.32,40,39
78,154,1,18541.64,20,6
79,8,1,24640.76,5,1
80,103,3,3513.25,5,10
80,79,3,1071.72,40,48
81,73,3,3398.02,15,47
82,5,3,36287.87,20,14
83,39,3,54982.75,5,41
83,152,3,9869.6,15,40
84,77,3,933.32,30,11
84,35,1,22844.35,30,19
85,15,1,23440.61,40,34
86,8,2,23167.91,20,37
87,160,3,3653.74,20,17
88,146,3,11182.03,40,50
89,167,2,19801.67,5,24
90,122,2,4526.21,5,43
91,158,2,13593.64,25,27
91,111,2,892.56,10,37
92,2,1,43480.59,15,20
92,126,1,3097.32,15,17
93,19,1,23880.08,25,43
94,104,1,3137.63,20,7
94,127,3,4561.38,20,13
95,16,2,45410.88,25,15
95,196,1,1258.44,10,43
96,160,3,4137.95,5,48
96,152,3,10533.82,10,13
97,11,2,19613.29,40,13
97,76,2,4427.39,15,20
98,200,2,1835.58,20,18
99,33,1,52260.91,5,50
99,2,2,45760.83,5,45
100,121,1,1100.07,30,41
101,23,3,8828.83,30,31
101,43,3,36246.73,15,35
102,99,2,2803.48,40,13
102,19,2,27180.14,15,36
103,140,1,11417.93,40,48
103,25,2,21105.16,30,21
104,172,1,21880.49,5,24
104,102,3,3391.6,20,4
105,13,1,30794.26,40,19
106,184,2,493.5,5,20
107,5,1,26355.98,40,49
107,183,1,1326.73,40,35
108,175,3,1998.01,40,14
109,197,3,963.15,25,48
110,140,2,16064.48,15,36
110,161,3,14596.58,20,45
111,39,2,38477.33,30,26
112,24,2,44860.75,30,25
112,154,1,18915.32,15,14
113,34,1,42987.11,25,13
113,120,2,1771.11,25,20
114,196,2,973.96,25,50
115,11,1,20443.71,30,39
115,184,3,479.11,5,8
116,57,1,8670.37,40,6
116,38,2,59099.79,15,25
117,142,3,6919.24,10,22
117,103,1,3477.31,5,16
118,9,2,32152.9,30,19
